feature,importance
cat__location_Guibert,0.0
cat__location_Grégoire,0.0
cat__location_Hoarau-la-Forêt,0.0
cat__location_Hervé-sur-Morvan,0.0
cat__location_Hervé,0.0
cat__location_Hernandez,0.0
cat__location_HenryVille,0.0
cat__location_Hebert,0.0
cat__location_Hardyboeuf,0.0
cat__location_Hamel-sur-Morvan,0.0
cat__location_Hamel-sur-Mer,0.0
cat__location_Hamel,0.0
cat__location_Gérard,0.0
cat__location_Guérindan,0.0
cat__location_Guyot-sur-Mer,0.0
cat__location_Guyot-les-Bains,0.0
cat__location_Jacques,0.0
cat__location_Jacobnec,0.0
cat__location_Jacob-sur-Olivier,0.0
cat__location_Jacob-les-Bains,0.0
cat__location_Jacob,0.0
cat__location_ImbertVille,0.0
cat__location_Imbert-sur-Charles,0.0
cat__location_Imbert,0.0
cat__location_HumbertVille,0.0
cat__location_Humbert-sur-Philippe,0.0
cat__location_Huet,0.0
cat__location_Hubertnec,0.0
cat__location_Klein,0.0
cat__location_Julien,0.0
cat__location_JourdanVille,0.0
cat__location_Jourdan,0.0
cat__location_Joubertboeuf,0.0
cat__location_Joubert-sur-Leleu,0.0
cat__location_Josephboeuf,0.0
cat__location_Joseph,0.0
cat__location_Joly-sur-Valentin,0.0
cat__location_Joly,0.0
cat__location_Jacquotdan,0.0
cat__location_Jacquot-sur-Mer,0.0
cat__location_Jacquot,0.0
cat__location_Jacquet,0.0
cat__location_Lamy,0.0
cat__location_Lambertdan,0.0
cat__location_Lambert-sur-Mer,0.0
cat__location_Lambert,0.0
cat__location_LaineBourg,0.0
cat__location_Laine-sur-Gros,0.0
cat__location_Lagardedan,0.0
cat__location_Lagarde,0.0
cat__location_Lacroix-sur-Didier,0.0
cat__location_Lacroix,0.0
cat__location_Lacombe-la-Forêt,0.0
cat__location_Lacombe,0.0
cat__location_Labbé-sur-Mer,0.0
cat__location_Labbé-sur-Lesage,0.0
cat__location_Labbé-la-Forêt,0.0
cat__location_Le RouxBourg,0.0
cat__location_Le Roux-sur-Martins,0.0
cat__location_Le Goff-les-Bains,0.0
cat__location_Le Goff,0.0
cat__location_Le Gall-les-Bains,0.0
cat__location_Le Gall,0.0
cat__location_Laurent,0.0
cat__location_Launay-sur-Tessier,0.0
cat__location_Launay,0.0
cat__location_Larocheboeuf,0.0
cat__location_Laroche,0.0
cat__location_Laporte-la-Forêt,0.0
cat__location_Langlois,0.0
cat__location_LamyBourg,0.0
cat__location_Lecomte-sur-Legrand,0.0
cat__location_Lecomte,0.0
cat__location_LeclercBourg,0.0
cat__location_Leclerc-les-Bains,0.0
cat__location_Leclerc,0.0
cat__location_Lebrun-les-Bains,0.0
cat__location_Lebretondan,0.0
cat__location_Lebreton,0.0
cat__location_Lebonnec,0.0
cat__location_LebonVille,0.0
cat__location_Lebon-sur-Guillot,0.0
cat__location_Lebon,0.0
cat__location_Leblanc,0.0
cat__location_Legros,0.0
cat__location_Legrand,0.0
cat__location_Legendre,0.0
cat__location_Lefèvre-sur-Gaillard,0.0
cat__location_Lefèvre,0.0
cat__location_Lefort,0.0
cat__location_Lefebvre,0.0
cat__location_Leduc-sur-Becker,0.0
cat__location_Ledoux,0.0
cat__location_Lecoq-sur-Dupré,0.0
cat__location_Lecoq,0.0
cat__location_Leconte,0.0
cat__location_Lecomteboeuf,0.0
cat__location_LeroyVille,0.0
cat__location_Leroy-sur-Mer,0.0
cat__location_Leroux,0.0
cat__location_Lenoir-sur-Loiseau,0.0
cat__location_Lemaître,0.0
cat__location_LelièvreBourg,0.0
cat__location_Lelièvre-sur-Ferreira,0.0
cat__location_Lelièvre-les-Bains,0.0
cat__location_Lelièvre,0.0
cat__location_Leleu-sur-Andre,0.0
cat__location_Leleu,0.0
cat__location_Lejeune,0.0
cat__location_Legros-sur-Leclercq,0.0
cat__location_Maillot-la-Forêt,0.0
cat__location_Maillot,0.0
cat__location_Maillet,0.0
cat__location_Maillard,0.0
cat__location_Maheboeuf,0.0
cat__location_Mahe-sur-Guilbert,0.0
cat__location_Lucas,0.0
cat__location_Louis-sur-Navarro,0.0
cat__location_Louis,0.0
cat__location_Lopez,0.0
cat__location_LombardBourg,0.0
cat__location_Loiseau,0.0
cat__location_Leroydan,0.0
cat__location_Martineau-sur-Bouchet,0.0
cat__location_Martindan,0.0
cat__location_MartelBourg,0.0
cat__location_Martel,0.0
cat__location_Marquesboeuf,0.0
cat__location_Marques-sur-Aubry,0.0
cat__location_Marion-la-Forêt,0.0
cat__location_Marion,0.0
cat__location_Marinboeuf,0.0
cat__location_Marin-sur-Mer,0.0
cat__location_Marin,0.0
cat__location_Wagner,0.0
cat__location_Marchal,0.0
cat__location_Malletnec,0.0
cat__location_Torres,0.0
cat__location_Allard-les-Bains,0.0
cat__location_Mendèsboeuf,0.0
cat__location_Mendès,0.0
cat__location_Allard,0.0
cat__location_Menard,0.0
cat__location_MauryVille,0.0
cat__location_Étienneboeuf,0.0
cat__location_Maury,0.0
cat__location_MauriceBourg,0.0
cat__location_Weissboeuf,0.0
cat__location_Masse-la-Forêt,0.0
cat__location_Masse,0.0
cat__location_Marynec,0.0
cat__location_Weiss,0.0
cat__location_Martinez-sur-Mer,0.0
cat__location_Martinez-sur-Laurent,0.0
cat__location_Martinez,0.0
cat__location_Morin,0.0
cat__location_Moreno,0.0
cat__location_Morel,0.0
cat__location_Moreau,0.0
cat__location_Monnier,0.0
cat__location_MilletBourg,0.0
cat__location_Millet-sur-Mer,0.0
cat__location_Traoreboeuf,0.0
cat__location_Toussaint-sur-Mer,0.0
cat__location_Michaud,0.0
cat__location_Toussaint-sur-Chartier,0.0
cat__location_Meunier,0.0
cat__location_MerleVille,0.0
cat__location_Mercierdan,0.0
cat__location_MercierVille,0.0
cat__location_Mercier-sur-Michel,0.0
cat__location_Ollivierboeuf,0.0
cat__location_Ollivier-la-Forêt,0.0
cat__location_Olivier,0.0
cat__location_Toussaint,0.0
cat__location_Noël,0.0
cat__location_Normand,0.0
cat__location_Nguyen,0.0
cat__location_Neveu-sur-Maurice,0.0
cat__location_Neveu,0.0
cat__location_Adam,0.0
cat__location_Munoz,0.0
cat__location_Muller,0.0
cat__location_Moulinnec,0.0
cat__location_Bazinboeuf,0.0
cat__location_Morvan,0.0
cat__location_MorinVille,0.0
cat__location_Peltierboeuf,0.0
cat__location_Peltier-sur-Mer,0.0
cat__location_Peltier,0.0
cat__location_Pelletier,0.0
cat__location_Pasquierdan,0.0
cat__location_Bazin-les-Bains,0.0
cat__location_Pasquier,0.0
cat__location_PascalVille,0.0
cat__location_Paris-la-Forêt,0.0
cat__location_Paris,0.0
cat__location_Baudrynec,0.0
cat__location_Parentdan,0.0
cat__location_Parentboeuf,0.0
cat__location_ParentBourg,0.0
cat__location_Parent,0.0
cat__location_Pages,0.0
cat__location_PicardBourg,0.0
cat__location_Picard-la-Forêt,0.0
cat__location_Philippe-sur-Mer,0.0
cat__location_Philippe,0.0
cat__location_Petitjean,0.0
cat__location_Petitboeuf,0.0
cat__location_Petit,0.0
cat__location_Perrot,0.0
cat__location_PerrinVille,0.0
cat__location_Perrin,0.0
cat__location_Perrier,0.0
cat__location_Perret,0.0
cat__location_Peron,0.0
cat__location_Perez,0.0
cat__location_Pereira-les-Bains,0.0
cat__location_Pereira,0.0
cat__location_Pottierboeuf,0.0
cat__location_Potier,0.0
cat__location_Ponsnec,0.0
cat__location_Ponsdan,0.0
cat__location_Pons,0.0
cat__location_Poiriernec,0.0
cat__location_Poirier-la-Forêt,0.0
cat__location_Piresnec,0.0
cat__location_Piresboeuf,0.0
cat__location_Pires-sur-Caron,0.0
cat__location_Barre,0.0
cat__location_Pinto,0.0
cat__location_Pineau,0.0
cat__location_PierreVille,0.0
cat__location_Pierre,0.0
cat__location_Pichon,0.0
cat__location_Rey,0.0
cat__location_Renault,0.0
cat__location_Renaudnec,0.0
cat__location_Renardboeuf,0.0
cat__location_Renard-sur-Mer,0.0
cat__location_Renard,0.0
cat__location_Regnier,0.0
cat__location_Raynaud,0.0
cat__location_Raymond,0.0
cat__location_RamosVille,0.0
cat__location_Baronboeuf,0.0
cat__location_Ramos,0.0
cat__location_Prévostnec,0.0
cat__location_Pruvost-sur-Merle,0.0
cat__location_Baron,0.0
cat__location_Poulain,0.0
cat__location_Rocherboeuf,0.0
cat__location_BarbierVille,0.0
cat__location_Barbedan,0.0
cat__location_Roche,0.0
cat__location_RobinVille,0.0
cat__location_Robin,0.0
cat__location_Robertnec,0.0
cat__location_Robert-sur-Mer,0.0
cat__location_Robert-sur-Diaz,0.0
cat__location_Rivièredan,0.0
cat__location_Richard-les-Bains,0.0
cat__location_Ribeiro,0.0
cat__location_Reynaud-les-Bains,0.0
cat__location_Reynaud,0.0
cat__location_Barbe-sur-Mace,0.0
cat__location_Rey-les-Bains,0.0
cat__location_Barbe,0.0
cat__location_Ruiz,0.0
cat__location_Royernec,0.0
cat__location_Weber-sur-Leconte,0.0
cat__location_Royer,0.0
cat__location_Weber,0.0
cat__location_Wagner-les-Bains,0.0
cat__location_Roux,0.0
cat__location_Rousset-sur-Collet,0.0
cat__location_Rousset,0.0
cat__location_Rousseau,0.0
cat__location_Rossi-sur-Boulay,0.0
cat__location_Rossi,0.0
cat__location_Rodriguez-sur-Bouchet,0.0
cat__location_Rodriguez,0.0
cat__location_Rodrigues,0.0
cat__location_Saint Arthurdan,0.0
cat__location_Saint ArthurBourg,0.0
cat__location_Saint Arthur,0.0
cat__location_Saint Antoine,0.0
cat__location_Saint Anne,0.0
cat__location_Saint Andrée,0.0
cat__location_Saint Anastasie,0.0
cat__location_Saint Alphonsedan,0.0
cat__location_Saint AliceBourg,0.0
cat__location_Saint Alexandrie,0.0
cat__location_Saint Alexandre,0.0
cat__location_Saint Alex,0.0
cat__location_Saint Alain,0.0
cat__location_Saint Agathe-les-Bains,0.0
cat__location_Saint Adrienne,0.0
cat__location_Saint AdrienVille,0.0
cat__location_Saint Diane-la-Forêt,0.0
cat__location_Saint David,0.0
cat__location_Saint Danielboeuf,0.0
cat__location_Saint Célinedan,0.0
cat__location_Saint CélineBourg,0.0
cat__location_BigotBourg,0.0
cat__location_Besson-sur-Lucas,0.0
